,법정동시군구코드,법정동,단지명,지번,전용면적,계약년도,계약월,계약일,보증금액,월세금액,층,건축년도,계약기간,계약구분,갱신요구권사용,종전계약보증금,종전계약월세,단지일련번호,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd
0,11650,반포동,반포푸르지오,10,84.82,2022,1,19,60000,180,4,2000,None,None,None,,,11650-176,신반포로15길 4,0,00004,00000,4163450,1,11650
1,11650,반포동,아크로리버파크,2-12,59.97,2022,1,15,155000,0,14,2016,None,None,None,,,11650-4440,신반포로15길 19,0,00019,00000,4163450,0,11650
2,11650,반포동,상지리츠빌2차,99-3,164.86,2022,1,26,185000,0,3,2004,None,None,None,,,11650-690,사평대로20길 113,0,00113,00000,4163326,1,11650
3,11650,양재동,양재리본타워,102,59.77,2022,1,20,36000,0,24,2014,None,None,None,,,11650-3979,바우뫼로18길 20,0,00020,00000,4163201,1,11650
4,11650,우면동,서초네이처힐3단지,717,84.61,2022,1,20,51000,0,17,2013,None,None,None,,,11650-3864,태봉로2길 60,0,00060,00000,4163582,1,11650
5,11650,양재동,우성KBS(113동),160-2,84.69,2022,1,8,85000,0,6,1996,None,None,None,,,11650-488,바우뫼로 91,0,00091,00000,3121009,1,11650
6,11650,서초동,서초프라임헤센아파트,1756,61.1795,2022,1,20,85000,0,7,2021,None,None,None,,,11650-4931,사임당로20길 5,0,00005,00000,4163317,1,11650
7,11650,서초동,삼풍아파트,1685,79.47,2022,1,8,66150,0,13,1988,None,None,None,,,11650-28,서초중앙로 200,0,00200,00000,3121024,3,11650
8,11650,반포동,아크로리버파크,2-12,59.97,2022,1,21,78871,0,18,2016,None,None,None,,,11650-4440,신반포로15길 19,0,00019,00000,4163450,0,11650
9,11650,우면동,엘에이치서초3단지,784,46.76,2022,1,17,7946,36,5,2013,None,None,None,,,11650-3966,양재대로2길 34,0,00034,00000,4163748,1,11650
10,11650,서초동,래미안서초에스티지S,1754,84.96,2022,1,13,160000,0,14,2018,None,None,None,,,11650-4622,서운로 104,0,00104,00000,3121016,1,11650
11,11650,반포동,반포미도2차아파트,60-5,71.49,2022,1,28,80000,0,11,1989,None,None,None,,,11650-173,사평대로 240,0,00240,00000,2121001,2,11650
12,11650,내곡동,서초포레스타2단지,384,84.48,2022,1,22,82900,0,10,2015,None,None,None,,,11650-4156,헌릉로8길 45,0,00045,00000,4163749,2,11650
13,11650,우면동,엘에이치서초3단지,784,59.94,2022,1,19,22028,0,10,2013,None,None,None,,,11650-3966,양재대로2길 34,0,00034,00000,4163748,1,11650
14,11650,내곡동,서초포레스타2단지,384,59.21,2022,1,15,50000,90,9,2015,None,None,None,,,11650-4156,헌릉로8길 45,0,00045,00000,4163749,2,11650
15,11650,내곡동,서초포레스타2단지,384,84.48,2022,1,22,82900,0,10,2015,None,None,None,,,11650-4156,헌릉로8길 45,0,00045,00000,4163749,2,11650
16,11650,잠원동,한신,56-3,84.52,2022,1,12,50000,106,2,1992,None,None,None,,,11650-145,잠원로 150,0,00150,00000,3121019,1,11650
17,11650,신원동,서초포레스타5단지,579,101.99,2022,1,22,117000,0,10,2014,None,None,None,,,11650-4026,청계산로7길 43,0,00043,00000,4163750,1,11650
18,11650,양재동,비젼아파트101동,17-35,102.46,2022,1,8,63000,0,4,2003,None,None,None,,,11650-591,바우뫼로39길 39,0,00039,00000,4163214,1,11650
19,11650,우면동,서초힐스,773,59.89,2022,1,18,70000,0,17,2012,None,None,None,,,11650-3821,양재대로2길 90,0,00090,00000,4163748,1,11650
20,11650,반포동,한신서래,70-1,64.53,2022,1,10,75000,0,3,1987,None,None,None,,,11650-232,사평대로28길 31,0,00031,00000,4163330,1,11650
21,11650,서초동,더샵서초,1445-14,30.39,2022,1,15,40000,0,25,2006,None,None,None,,,11650-3284,서초중앙로2길 21,0,00021,00000,4163718,1,11650
22,11650,잠원동,신반포4,70,105.44,2022,1,17,60000,100,7,1979,None,None,None,,,11650-125,잠원로 37-48,0,00037,00048,3121019,1,11650
23,11650,양재동,우성,154-2,73.15,2022,1,18,45000,70,1,1991,None,None,None,,,11650-440,바우뫼로 91,0,00091,00000,3121009,1,11650
24,11650,반포동,래미안퍼스티지,18-1,169.31,2022,1,24,241500,0,30,2009,None,None,None,,,11650-3559,반포대로 275,0,00275,00000,2121003,2,11650
25,11650,반포동,반포힐스테이트,16-6,59.7,2022,1,7,97000,0,14,2012,None,None,None,,,11650-3687,신반포로16길 15-20,0,00015,00020,4163754,1,11650
26,11650,반포동,반포미도,60-4,84.96,2022,1,8,63000,0,13,1987,None,None,None,,,11650-172,서초중앙로29길 28,0,00028,00000,4163713,1,11650
27,11650,서초동,신동아아파트(1차),1333,75.86,2022,1,29,3400,47,2,1978,None,None,None,,,11650-53,사임당로 130,None,00130,00000,3121014,0,11650
28,11650,서초동,더샵서초,1445-14,33.06,2022,1,28,2000,140,30,2006,None,None,None,,,11650-3284,서초중앙로2길 21,0,00021,00000,4163718,1,11650
29,11650,방배동,방배대우(562-1),562-1,84.55,2022,1,22,64000,0,3,1992,None,None,None,,,11650-271,효령로4길 56-29,0,00056,00029,4163643,1,11650
30,11650,서초동,삼풍아파트,1685,79.47,2022,1,22,69450,65,6,1988,None,None,None,,,11650-28,서초중앙로 200,0,00200,00000,3121024,3,11650
31,11650,서초동,서초벽산블루밍,1347-20,84.39,2022,1,8,73000,0,3,2006,None,None,None,,,11650-3301,효령로74길 56,0,00056,00000,4163658,1,11650
32,11650,반포동,반포미도,60-4,84.96,2022,1,12,63000,0,1,1987,None,None,None,,,11650-172,서초중앙로29길 28,0,00028,00000,4163713,1,11650
33,11650,서초동,DK밸리뷰시티,1584-6,23.88,2022,1,26,34650,0,12,2019,None,None,None,,,11650-4764,반포대로14길 14,0,00014,00000,4163225,0,11650
34,11650,서초동,래미안서초유니빌,1445-4,45.255,2022,1,8,5000,100,13,2003,None,None,None,,,11650-518,서초중앙로 26,0,00026,00000,3121024,3,11650
35,11650,잠원동,신반포12,50-5,55.45,2022,1,13,37800,0,11,1982,None,None,None,,,11650-110,잠원로14길 41,0,00041,00000,4163526,1,11650
36,11650,잠원동,동아,157,84.91,2022,1,29,15000,0,12,2002,None,None,None,,,11650-102,신반포로33길 15,0,00015,00000,4163453,1,11650
37,11650,서초동,서초지웰,1458-6,84.74,2022,1,13,75600,0,15,2005,None,None,None,,,11650-3221,반포대로10길 35,0,00035,00000,4163222,1,11650
38,11650,우면동,호반써밋서초파크,788,84.99,2022,1,26,20767,23,8,2013,None,None,None,,,11650-3974,양재대로2길 33,0,00033,00000,4163748,1,11650
39,11650,서초동,래미안서초에스티지,1332-13,59.99,2022,1,27,61293,0,9,2016,None,None,None,,,11650-4470,서운로 107,0,00107,00000,3121016,0,11650
40,11650,반포동,반포미도,60-4,84.96,2022,1,26,20000,180,8,1987,None,None,None,,,11650-172,서초중앙로29길 28,0,00028,00000,4163713,1,11650
